smiles,score_QED,source_smiles,valid,pains_ok,SA_Score
O=C(O)c1cnn(Cc2ccc(Br)cc2F)c1,0.9472291483114682,Cc1cnn(Cc2ccc(Br)cc2F)c1,True,True,2.116308807699804
O=C(Cc1csc(-c2cccs2)n1)N1CCC[C@@H](O)C1,0.9470698422185524,O=C(Cc1csc(-c2cccs2)n1)N1CCC[C@H](O)C1,True,True,2.773772447212652
O=C(Cc1csc(-c2cccs2)n1)N1CCC[C@@H](O)C1,0.9470698422185524,O=C(Cc1csc(-c2cccs2)n1)N1CCC[C@H](O)C1,True,True,2.773772447212652
O=C(Cc1csc(-c2cccs2)n1)N1CCC[C@@H](O)C1,0.9470698422185524,O=C(Cc1csc(-c2cccs2)n1)N1CCC[C@H](O)C1,True,True,2.773772447212652
NC1(c2ccnc(Cc3ccc(Cl)cc3)n2)CCOCC1,0.9467836815314804,COc1ccc(Cc2nccc(C3(c4ccccc4Cl)CC[NH2+]CC3)n2)cc1,True,True,2.685816886510352
CCC(=O)Nc1nc(-c2ccc3c(c2)CCN3C(C)=O)cs1,0.9465770189707344,CCC(=O)Nc1nc(-c2ccc3c(c2)CCN3C(C)=O)cs1,True,True,2.1948456896929613
CCC(=O)Nc1nc(-c2ccc3c(c2)CCN3C(C)=O)cs1,0.9465770189707344,CCC(=O)Nc1nc(-c2ccc3c(c2)CCN3C(C)=O)cs1,True,True,2.1948456896929613
CCC(=O)Nc1nc(-c2ccc3c(c2)CCN3C(C)=O)cs1,0.9465770189707344,CCC(=O)Nc1nc(-c2ccc3c(c2)CCN3C(C)=O)cs1,True,True,2.1948456896929613
O=C(c1c[nH]c2cccc(F)c12)N1CCN(CC2CC2)CC1,0.9457662219066566,O=C(CN1CCN(C(=O)c2c[nH]c3cccc(F)c23)CC1)C1CC1,True,True,2.23118929125269
O=C(c1c[nH]c2cccc(F)c12)N1CCN(CC2CC2)CC1,0.9457662219066566,O=C(CN1CCN(C(=O)c2c[nH]c3cccc(F)c23)CC1)C1CC1,True,True,2.23118929125269
O=C(c1c[nH]c2cccc(F)c12)N1CCN(CC2CC2)CC1,0.9457662219066566,O=C(CN1CCN(C(=O)c2c[nH]c3cccc(F)c23)CC1)C1CC1,True,True,2.23118929125269
N#C[C@H](c1ccccc1)[C@@H]1CCCN1C(=O)c1cccnc1O,0.9454560582019296,N#C[C@@H](c1ccccc1)[C@@H]1CCCN1C(=O)c1cccnc1Cl,True,True,3.4009482235646953
COC(C)(C)C(=O)N1CCC(c2c[nH]c3ccccc23)CC1,0.9450315194397482,COC(=O)C(=Cc1c[nH]c2ccccc12)C(=O)OC,True,True,2.356504002348048
Cc1cc([C@@H](C)NC(=O)c2cn(C)nc2C(C)(C)C)c(C)o1,0.9448208567514632,Cc1cc([C@@H](C)NC(=O)c2cn(C)nc2C(C)(C)C)c(C)o1,True,True,3.0169898233315777
Cc1cc([C@@H](C)NC(=O)c2cn(C)nc2C(C)(C)C)c(C)o1,0.9448208567514632,Cc1cc([C@@H](C)NC(=O)c2cn(C)nc2C(C)(C)C)c(C)o1,True,True,3.0169898233315777
Cc1cc([C@@H](C)NC(=O)c2cn(C)nc2C(C)(C)C)c(C)o1,0.9448208567514632,Cc1cc([C@@H](C)NC(=O)c2cn(C)nc2C(C)(C)C)c(C)o1,True,True,3.0169898233315777
Cn1cc(C#N)cc1C(=O)Nc1cccc(N2CCCC2=O)c1,0.9444989406210618,Cn1cc(Br)cc1C(=O)Nc1cccc(N2CCCC2=O)c1,True,True,2.368248175340696
