smiles,score_QED,source_smiles
O=C(Cc1cc[nH]n1)NCCc1ccccc1,0.8118232468982859,O=C(Cc1cc[nH]n1)NCCCO
O=C(Cc1cc[nH]n1)NCCC(F)(F)F,0.7970416398793675,O=C(Cc1cc[nH]n1)NCCCO
O=C(Cc1cc[nH]n1)NCCC(F)(F)F,0.7970416398793675,O=C(Cc1cc[nH]n1)NCCCO
Cc1cccn2c(=O)c(C(=O)N(C)[C@H](CN)CC(C)C)cnc12,0.9050401291372696,Cc1cccn2c(=O)c(C(=O)N(C)[C@H](c3ccccc3)C(C)C)cnc12
Cc1cccn2c(=O)c(C(=O)N(CCN(C)C)C(C)C)cnc12,0.836863066025132,Cc1cccn2c(=O)c(C(=O)N(C)[C@H](c3ccccc3)C(C)C)cnc12
Cc1cccn2c(=O)c(C(=O)N(C)[C@@H](c3ccccc3)C(C)C)cnc12,0.7245919215114364,Cc1cccn2c(=O)c(C(=O)N(C)[C@H](c3ccccc3)C(C)C)cnc12
COc1cccc(C(=O)NCCC(=O)N2CCCCC2)c1,0.8997360726446992,COc1cccc(C(=O)NCCC(=O)Nc2c[nH+]c3n2CCCC3)c1
COc1cccc(C(=O)NCCC(=O)N2CCCCC2)c1,0.8997360726446992,COc1cccc(C(=O)NCCC(=O)Nc2c[nH+]c3n2CCCC3)c1
COc1cccc(C(=O)NCCC(=O)N2CCCCC2)c1,0.8997360726446992,COc1cccc(C(=O)NCCC(=O)Nc2c[nH+]c3n2CCCC3)c1
CC[C@@H]1CN(C(=O)[C@@H]2CCCN2C(=O)Nc2ccccc2)C[C@@H](C)O1,0.9161281834900112,C[C@@H]1CN(C(=O)[C@@H]2CCCN2C(=O)Nc2ccccc2)C[C@@H](C)O1
C[C@@H]1CN(C(=O)[C@@H]2CCCN2C(=O)Nc2ccccc2)C[C@@H](C)O1,0.904524342668793,C[C@@H]1CN(C(=O)[C@@H]2CCCN2C(=O)Nc2ccccc2)C[C@@H](C)O1
C[C@@H]1C[C@H](C)CN(C(=O)[C@@H]2CCCCN2C(=O)Nc2ccccc2)C1,0.8922425318017858,C[C@@H]1CN(C(=O)[C@@H]2CCCN2C(=O)Nc2ccccc2)C[C@@H](C)O1
CCCC(=O)N1CCC(C(=O)N(C)Cc2ccc(C)o2)CC1,0.8399346053194903,CCCC(=O)N1CCC(C(=O)N(Cc2ccc(C)o2)C(C)C)CC1
CCCC(=O)N1CCC(C(=O)N(C)Cc2ccc(C)o2)CC1,0.8399346053194903,CCCC(=O)N1CCC(C(=O)N(Cc2ccc(C)o2)C(C)C)CC1
CCCN1CCC(C(=O)N(Cc2ccc(C)o2)C(C)C)CC1,0.8075222660135325,CCCC(=O)N1CCC(C(=O)N(Cc2ccc(C)o2)C(C)C)CC1
COC(=O)c1cn(Cc2ccccc2OC)c2ccccc2c1=O,0.6928690730409809,COc1ccccc1Cn1cc(C(=O)c2ccccc2)c(=O)c2ccccc21
COC(=O)c1cn(Cc2ccccc2OC)c2ccccc2c1=O,0.6928690730409809,COc1ccccc1Cn1cc(C(=O)c2ccccc2)c(=O)c2ccccc21
COC(=O)c1ccccc1Cn1cc(C(=O)OC)c(=O)c2ccccc21,0.6756624003720924,COc1ccccc1Cn1cc(C(=O)c2ccccc2)c(=O)c2ccccc21
CCCCS(=O)(=O)N[C@@H](C)C(=O)N1CCOCC1,0.7391110177279554,CCCCS(=O)(=O)N[C@@H](CC)C(=O)N1CCOCC1
CCCCS(=O)(=O)N[C@@H](C)C(=O)N1CCOCC1,0.7391110177279554,CCCCS(=O)(=O)N[C@@H](CC)C(=O)N1CCOCC1
CCCCS(=O)(=O)N[C@@H](C)C(=O)N1CCOCC1,0.7391110177279554,CCCCS(=O)(=O)N[C@@H](CC)C(=O)N1CCOCC1
CCOC(=O)c1ccc2nc(NC(=O)C3=COCCO3)sc2c1,0.8634937885822298,CCOC(=O)c1ccc2c(c1)s/c(=N\C(=O)C1=COCCO1)n2CC(=O)OC
CCOC(=O)c1ccc2nc(NC(=O)C3=COCCO3)sc2c1,0.8634937885822298,CCOC(=O)c1ccc2c(c1)s/c(=N\C(=O)C1=COCCO1)n2CC(=O)OC
CCOC(=O)c1ccc2c(c1)sc(=NC(=O)C1=COCCO1)n2CC,0.7794098465609619,CCOC(=O)c1ccc2c(c1)s/c(=N\C(=O)C1=COCCO1)n2CC(=O)OC
CC(C)CNC(=O)NCCN1CCN(c2ncccn2)CC1,0.8029857867023097,COCCNC(=O)NCCN1CCN(c2ncccn2)CC1
CCNC(=O)NCCN1CCN(c2ncccn2)CC1,0.7878046303442653,COCCNC(=O)NCCN1CCN(c2ncccn2)CC1
CCNC(=O)NCCN1CCN(c2ncccn2)CC1,0.7878046303442653,COCCNC(=O)NCCN1CCN(c2ncccn2)CC1
O=C(O)c1ccc2c(c1)CCN2C(=O)c1cnsn1,0.8961877825419816,COC(=O)c1ccc2c(c1)CCN2C(=O)c1cnsn1
O=C(O)c1ccc2c(c1)CCN2C(=O)c1cnsn1,0.8961877825419816,COC(=O)c1ccc2c(c1)CCN2C(=O)c1cnsn1
O=C(O)c1ccc2c(c1)CCN2C(=O)c1cnsn1,0.8961877825419816,COC(=O)c1ccc2c(c1)CCN2C(=O)c1cnsn1
COC(=O)c1ccoc1CN1C[C@@H](O)C[C@H]1C(=O)OC,0.7879598965740046,COC(=O)c1ccoc1C[NH+]1C[C@H](O)C[C@H]1C(=O)OC
COC(=O)c1ccoc1CN1C[C@@H](O)C[C@H]1C(=O)OC,0.7879598965740046,COC(=O)c1ccoc1C[NH+]1C[C@H](O)C[C@H]1C(=O)OC
COC(=O)c1ccoc1CN1C[C@@H](O)C[C@H]1C(=O)OC,0.7879598965740046,COC(=O)c1ccoc1C[NH+]1C[C@H](O)C[C@H]1C(=O)OC
CN1C(=O)CC[C@@H](N[C@@H]2CCC[C@@H]2C2CCC2)C1=O,0.7892273391359409,CN1C(=O)CC[C@H](N[C@H]2CCC[C@@H]2[C@@H]2CCC[NH2+]2)C1=O
CN1C(=O)CC[C@H](N[C@@H]2CCC[C@@H]2C2CCC2)C1=O,0.7892273391359409,CN1C(=O)CC[C@H](N[C@H]2CCC[C@@H]2[C@@H]2CCC[NH2+]2)C1=O
CN1C(=O)CC[C@H](N[C@@H]2CCC[C@@H]2C2CCC2)C1=O,0.7892273391359409,CN1C(=O)CC[C@H](N[C@H]2CCC[C@@H]2[C@@H]2CCC[NH2+]2)C1=O
Cc1ccc(-c2nc(CN3C(=O)CN(C4CCC4)C3=O)cs2)cc1,0.8006766245739447,Cc1ccc(-c2nc(CN3C(=O)C(=O)N(C4CCCC4)C3=O)cs2)cc1
Cc1ccc(-c2nc(CN3C(=O)CN(C4CCCC4)C3=O)cs2)cc1,0.783490528532405,Cc1ccc(-c2nc(CN3C(=O)C(=O)N(C4CCCC4)C3=O)cs2)cc1
Cc1ccc(-c2nc(CN3CC(=O)N(C4CCCC4)C3=O)cs2)cc1,0.783490528532405,Cc1ccc(-c2nc(CN3C(=O)C(=O)N(C4CCCC4)C3=O)cs2)cc1
CCOc1cccc(F)c1CCC(=O)N[C@H]1[C@@H]2CCO[C@@H]2C1(C)C,0.8689496469327368,CCOc1ccccc1[C@H](CC(=O)N[C@H]1[C@@H]2CCO[C@@H]2C1(C)C)NC(C)=O
CCOc1ccccc1[C@@H](CC(=O)N[C@@H]1[C@@H]2CCO[C@@H]2C1(C)C)NC(C)=O,0.7690814547239091,CCOc1ccccc1[C@H](CC(=O)N[C@H]1[C@@H]2CCO[C@@H]2C1(C)C)NC(C)=O
CCOc1ccccc1[C@H](CC(=O)N[C@@H]1[C@@H]2CCO[C@@H]2C1(C)C)NC(C)=O,0.7690814547239091,CCOc1ccccc1[C@H](CC(=O)N[C@H]1[C@@H]2CCO[C@@H]2C1(C)C)NC(C)=O
O=C(CCc1ccc(F)cc1)N1CCC(Oc2ccccc2O)CC1,0.9034044830380226,O=C(CCc1ccc(F)cc1)N1CCC(OCc2ccccc2)CC1
O=C(CCc1ccc(F)cc1)N1CCC(Oc2ccccc2O)CC1,0.9034044830380226,O=C(CCc1ccc(F)cc1)N1CCC(OCc2ccccc2)CC1
